# Source Provider: https://www.aquitemachadinhos.com.br
# License: Open Data Commons Open Database License (ODbL)
# Citation: Aqui Tem Achadinhos Public Open Data Engine (2026)
municipio,uf,slug,ddd,aeroporto_referencia,rodovias_acesso,distancia_capital,source_provider,canonical_url,atualizado_em
"Barretos","SP","barretos","17","Aeroporto Estadual Chafei Amsei (BAT) e Leite Lopes (RAO)","SP-326 (Brigadeiro Faria Lima) e SP-425 (Assis Chateaubriand)","425 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-barretos","2026-08-12T21:43:00.827Z"
"São Paulo","SP","sao-paulo","11","Aeroporto Internacional de Guarulhos (GRU) e Congonhas (CGH)","Rodovia dos Bandeirantes, Anhanguera, Dutra, Castelo Branco e Imigrantes","Capital do Estado de SP","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-sao-paulo","2026-08-12T21:43:00.827Z"
"Gramado","RS","gramado","54","Aeroporto Regional de Caxias (CXJ) ou Salgado Filho POA (1h45)","RS-115 (Taquara/Gramado) e RS-235 (Nova Petrópolis/Canela)","115 km de Porto Alegre","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-gramado","2026-08-12T21:43:00.827Z"
"Campos do Jordão","SP","campos","11","Regional","Acesso","Interior","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-campos","2026-08-12T21:43:00.827Z"
"Campinas","SP","campinas","19","Aeroporto Internacional de Viracopos (VCP)","Rodovia dos Bandeirantes (SP-348), Anhanguera (SP-330) e D. Pedro I (SP-065)","98 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-campinas","2026-08-12T21:43:00.827Z"
"Santos","SP","santos","13","Acesso via Congonhas (CGH) ou Guarulhos (GRU) pela Rodovia dos Imigrantes","Rodovia dos Imigrantes (SP-160) e Rodovia Anchieta (SP-150)","72 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-santos","2026-08-12T21:43:00.827Z"
"Ribeirão Preto","SP","ribeirao-preto","16","Aeroporto Estadual Dr. Leite Lopes (RAO)","Rodovia Anhanguera (SP-330) e Rodovia Cândido Portinari (SP-334)","315 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-ribeirao-preto","2026-08-12T21:43:00.827Z"
"São José do Rio Preto","SP","sao-jose-do-rio-preto","17","Aeroporto Estadual Prof. Eribelto Manoel Reino (SJP)","Rodovia Washington Luís (SP-310) e BR-153 (Transbrasiliana)","440 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-sao-jose-do-rio-preto","2026-08-12T21:43:00.827Z"
"Bebedouro","SP","bebedouro","17","Aeroporto Estadual de Bebedouro (SBB) / Conexão via Ribeirão Preto (RAO)","Rodovia Brigadeiro Faria Lima (SP-326) e Rodovia Comendador Pedro Monteleone (SP-351)","385 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-bebedouro","2026-08-12T21:43:00.827Z"
"Olímpia","SP","olimpia","17","Acesso pelo Aeroporto de São José do Rio Preto (SJP - 45 min)","Rodovia Assis Chateaubriand (SP-425) e Rodovia Armando de Salles Oliveira (SP-322)","430 km de São Paulo","https://www.aquitemachadinhos.com.br","https://www.aquitemachadinhos.com.br/aluguel-carros/melhores-locadoras-carros-sem-taxas-ocultas-olimpia","2026-08-12T21:43:00.827Z"
